S/N,List Year,Date Recorded,Town,Address,Property Type,Assessed Value,Sale Amount
1,2021,1/1/2022,Somers,14 BUGBEE LANE,Residential,"114,400","295,000"
2,2021,1/3/2022,Bloomfield,16 NORTHWOOD DRIVE,Industrial,"487,060","710,000"
3,2021,1/3/2022,Bristol,82 FAIRFIELD ST,Residential,"122,780","236,000"
4,2021,1/3/2022,Guilford,234 MULBERRY POINT RD,Residential,"177,800","449,000"
5,2021,1/3/2022,East Hampton,51 MAIN ST,Residential,"144,670","155,000"
6,2021,1/3/2022,Berlin,45 ROBINDALE DR,Residential,"188,200","355,000"
7,2021,1/3/2022,Middletown,399 DEKOVEN DR,Apartments,"193,570","513,000"
8,2021,1/3/2022,Ansonia,7 BERKSHIRE RD,Residential,"116,200","204,000"
9,2021,1/3/2022,Avon,571 COUNTRY CLUB ROAD,Residential,"232,840","300,000"
10,2021,1/3/2022,Bloomfield,12 SHIBAH WAY,Residential,"203,210","619,000"
11,2021,1/3/2022,Fairfield,127 ROWLAND ROAD,Residential,"506,450","1,124,000"
12,2021,1/3/2022,Granby,3 CLEMONS SPRING RD,Residential,"340,130","585,000"
13,2021,1/3/2022,Canton,51 SEXTON HOLLOW ROAD,Residential,"206,840","355,000"
14,2021,1/3/2022,Essex,74 SAYBROOK RD,Residential,"382,000","875,000"
15,2021,1/3/2022,New Britain,86 MAPLEHURST AVE,Residential,"128,170","150,000"
16,2021,1/3/2022,Danbury,1 GROVE PL,Residential,"148,700","176,000"
17,2021,1/3/2022,Hamden,25 SUNWOODS CR,Residential,"141,400","241,000"
18,2021,1/3/2022,Killingly,70 PEEPTOAD RD,Residential,"294,270","499,900"
19,2021,1/3/2022,Easton,30 TUCKAHOE ROAD,Residential,"717,850","1,107,000"
20,2021,1/3/2022,Bristol,155 REDSTONE HILL RD #194,Residential,"68,950","140,000"
21,2021,1/3/2022,New Canaan,60 BOWERY RD,Residential,"1,463,350","2,850,000"
22,2021,1/3/2022,Ledyard,1657 ROUTE 12,Commercial,"3,072,020","4,313,773"
23,2021,1/3/2022,Danbury,136 PEMBROKE R 4-27 & GAR 130,Residential,"87,100","180,000"
24,2021,1/3/2022,Bridgeport,36 MONROE ST #38,Residential,"201,600","475,000"
25,2021,1/3/2022,Hamden,1677 STATE ST,Residential,"103,390","245,000"
26,2021,1/3/2022,New Britain,59 ROBERTS ST,Residential,"116,060","174,900"
27,2021,1/3/2022,Essex,85 RIVER RD H-7,Residential,"134,400","298,000"
28,2021,1/3/2022,Hamden,355 DUNBAR HILL RD,Residential,"156,450","290,000"
29,2021,1/3/2022,Madison,230 NECK RD,Residential,"154,400","285,000"
30,2021,1/3/2022,Bethel,88 MILWAUKEE AVENUE,Residential,"224,210","400,000"
31,2021,1/3/2022,Killingly,383 & 385 PUTNAM PIKE,Residential,"148,050","130,000"
32,2021,1/3/2022,Bristol,261 TYLER WAY,Residential,"179,760","370,000"
33,2021,1/3/2022,Middletown,123 FISHER RD,Residential,"119,320","240,000"
34,2021,1/3/2022,Mansfield,302 CODFISH FALLS RD,Residential,"191,900","485,000"
35,2021,1/3/2022,Bethel,81 SOUTH STREET,Residential,"143,640","125,000"
36,2021,1/3/2022,Guilford,312 PEDDLERS RD,Residential,"301,150","720,000"
37,2021,1/3/2022,Ansonia,38 FRANCIS ST,Residential,"156,200","404,250"
38,2021,1/3/2022,Morris,14 WESTOVER LN,Residential,"440,270","762,000"
39,2021,1/3/2022,Branford,3 HAWTHORNE TERR,Residential,"206,300","320,000"
40,2021,1/3/2022,Danbury,126 TRIANGLE ST B-15,Residential,"41,400","125,900"
41,2021,1/3/2022,Bristol,171 INDIAN TRAIL,Residential,"136,290","340,000"
42,2021,1/3/2022,East Hampton,3 EDGERTON ST,Residential,"246,680","417,000"
43,2021,1/3/2022,Berlin,567 WETHERSFIELD RD,Vacant Land,"85,400","195,000"
44,2021,1/3/2022,Litchfield,146 FERN AVE,Residential,"217,760","300,000"
45,2021,1/3/2022,Bloomfield,64 EAST DUDLEY TOWN ROAD,Industrial,"491,890","1,750,000"
46,2021,1/3/2022,Danbury,31 STARR RD,Residential,"212,000","300,000"
47,2021,1/3/2022,Bridgeport,944 HANCOCK AVE #946,Residential,"160,590","165,000"
48,2021,1/3/2022,Glastonbury,190 OAKWOOD DR,Industrial,"2,391,000","8,088,750"
49,2021,1/3/2022,Middletown,263 CARRIAGE CROSSING,Residential,"46,880","110,000"
50,2021,1/3/2022,Essex,28 COMSTOCK AVE,Residential,"374,100","446,500"
51,2021,1/3/2022,Hamden,1172 WINTERGREEN AVE,Residential,"125,930","110,000"
52,2021,1/3/2022,Ledyard,8 WOODVIEW DR,Residential,"180,040","365,000"
53,2021,1/3/2022,New Britain,61 COLUMBUS BLVD,Commercial,"120,260","425,000"
54,2021,1/3/2022,Bloomfield,143 TERRY PLAINS ROAD,Residential,"138,220","260,000"
55,2021,1/3/2022,Farmington,18 GREAT MEADOW LA,Residential,"105,760","150,000"
56,2021,1/3/2022,Fairfield,1093 REEF ROAD,Residential,"490,280","900,000"
57,2021,1/3/2022,Bridgeport,15 COURT C BLDG 61,Commercial,"15,358,340","73,000"
58,2021,1/3/2022,Bethel,4 RAVENCREST DRIVE,Residential,"318,500","600,000"
59,2021,1/3/2022,Hamden,1673 STATE ST,Residential,"225,890","400,000"
60,2021,1/3/2022,Cromwell,16 DOGWOOD COURT,Residential,"83,090","152,000"
61,2021,1/3/2022,New Britain,57 FEDERAL CIR,Residential,"113,750","280,000"
62,2021,1/3/2022,Harwinton,520 WILDCAT HILL RD,Residential,"205,770","300,000"
63,2021,1/3/2022,Killingly,240 TRACY RD,Residential,"128,870","200,000"
64,2021,1/3/2022,Granby,96 MOUNTAIN RD,Residential,"234,990","428,025"
65,2021,1/3/2022,Berlin,27 EARL ST,Residential,"135,500","270,000"
66,2021,1/3/2022,Ellington,66 CRYSTAL LAKE RD,Residential,"291,470","160,000"
67,2021,1/3/2022,Bridgeport,345 MERRITT ST,Residential,"148,000","255,000"
68,2021,1/3/2022,Clinton,61 JAMES VINCENT DR,Residential,"342,000","560,000"
69,2021,1/3/2022,Glastonbury,12 STONY BROOK DR 5C3,Residential,"68,900","160,000"
70,2021,1/3/2022,Danbury,9 WOODCREST LA,Residential,"214,200","450,000"
71,2021,1/3/2022,Branford,24 SUNDANCE,Residential,"28,600","112,500"
72,2021,1/3/2022,Ledyard,49 INCHCLIFFE DR,Residential,"177,380","250,000"
73,2021,1/3/2022,Middletown,54 HILLSIDE AVE,Residential,"66,330","182,000"
74,2021,1/3/2022,Bloomfield,60 EAST DUDLEY TOWN ROAD,Industrial,"492,520","1,750,000"
75,2021,1/3/2022,Canterbury,234 WAUREGAN RD,Residential,"140,500","128,625"
76,2021,1/3/2022,Branford,1E FERNDALE,Residential,"81,300","145,000"
77,2021,1/3/2022,Mansfield,316 STORRS RD,Residential,"195,700","400,000"
78,2021,1/3/2022,Danbury,83 BRENTWOOD CI,Residential,"18,200","561,205"
79,2021,1/3/2022,Farmington,105 HAROLD RD,Residential,"170,900","290,000"
80,2021,1/3/2022,Bristol,1469 FARMINGTON AVE UN 55G,Residential,"96,530","230,000"
81,2021,1/3/2022,Fairfield,28 ANDRASSY AVENUE,Residential,"296,100","480,000"
82,2021,1/3/2022,Bridgeport,UNIT 108 APT 6 13 NASH LANE,Commercial,"3,041,800","98,500"
83,2021,1/3/2022,Brooklyn,25 MALBONE LN,Residential,"221,600","390,000"
84,2021,1/3/2022,Hamden,1182 PARADISE AVE,Residential,"144,970","279,000"
85,2021,1/3/2022,Bethel,55 MAPLE AVENUE,Residential,"169,820","272,500"
86,2021,1/3/2022,Branford,C31 RIVERVIEW CROSSING,Residential,"70,100","150,150"
87,2021,1/3/2022,East Haddam,ORCHARD RD,Vacant Land,960,"57,500"
88,2021,1/3/2022,Cromwell,22 RAYMOND PLACE,Residential,"146,230","285,000"
89,2021,1/3/2022,Burlington,75 WEST LEDGE,Residential,"342,530","920,873"
90,2021,1/3/2022,Litchfield,138 WEST ST,Residential,"162,560","435,000"
91,2021,1/3/2022,Ellington,TRIPP RD 004-002-0000,Vacant Land,"27,100","30,000"
92,2021,1/3/2022,Killingly,1032 NO MAIN ST,Commercial,"270,900","270,000"
93,2021,1/3/2022,New Britain,182 WEST ST,Residential,"93,940","138,500"
94,2021,1/3/2022,Bristol,124 MORNINGSIDE DR WEST,Residential,"88,900","194,000"
95,2021,1/3/2022,Bristol,31 CAESAR DR,Residential,"127,400","175,000"
96,2021,1/3/2022,Danbury,POCONO POINT RD,Residential,"15,500","60,000"
97,2021,1/3/2022,Bridgeport,219 SIXTH ST,Residential,"105,380","140,000"
98,2021,1/3/2022,Mansfield,35 FERN DR,Residential,"7,500","38,000"
99,2021,1/3/2022,Granby,47 CANAL RD,Residential,"145,040","250,000"
100,2021,1/3/2022,Guilford,439 NO RIVER ST,Residential,"374,310","385,000"
101,2021,1/3/2022,Bloomfield,1347 HALL BOULEVARD,Residential,"126,250","265,000"
102,2021,1/3/2022,Bolton,82 SCHOOL RD,Residential,"171,600","280,000"
103,2021,1/3/2022,Fairfield,79 BARLOW ROAD,Residential,"463,610","917,000"
104,2021,1/3/2022,Canterbury,173B SO CANTERBURY RD,Residential,"302,900","420,000"
105,2021,1/3/2022,Middletown,59 ANNELLO WAY,Residential,"254,560","481,000"
106,2021,1/3/2022,Hamden,1686 STATE ST,Residential,"114,660","240,000"
107,2021,1/3/2022,Bristol,32 MERCIER AVE,Residential,"122,990","221,000"
108,2021,1/3/2022,Hamden,75 WASHINGTON AVE 6-105,Residential,"66,080","117,000"
109,2021,1/3/2022,New Fairfield,6 WOODRIDGE LN,Residential,"316,400","605,000"
110,2021,1/3/2022,Avon,174 AND 190 OLD FARMS ROAD,Commercial,"4,346,140","21,700,000"
111,2021,1/3/2022,Branford,540 EAST MAIN ST UNITS 15 & 16,Commercial,"105,700","285,000"
112,2021,1/3/2022,Cromwell,47 HILLSIDE ROAD,Residential,"195,720","335,000"
113,2021,1/3/2022,Easton,322 SPORT HILL ROAD,Residential,"253,470","530,000"
114,2021,1/3/2022,Bristol,74 LONGVIEW AVE,Residential,"108,990","186,100"
115,2021,1/3/2022,Danbury,103 KOHANZA ST,Residential,"61,000","180,000"
116,2021,1/3/2022,New Britain,328 STANLEY ST,Residential,"75,530","200,000"
117,2021,1/3/2022,Madison,573 DURHAM RD,Residential,"200,900","399,999"
118,2021,1/3/2022,Killingly,21 MASON HILL RD,Residential,"117,110","240,000"
119,2021,1/3/2022,Bethel,2 SHORT DRIVE,Residential,"116,690","165,000"
120,2021,1/3/2022,Bridgeport,133 VIRGINIA AVE UNIT 296,Residential,"50,820","127,500"
121,2021,1/3/2022,Bristol,88 LANCASTER RD,Residential,"127,680","185,300"
122,2021,1/3/2022,Danbury,10 SCUPPO RD A11,Residential,"76,700","150,000"
123,2021,1/3/2022,Killingly,235 ROSS RD,Residential,"286,600","552,500"
124,2021,1/3/2022,Monroe,1324 MONROE TPKE,Residential,"388,100","720,000"
125,2021,1/3/2022,Bolton,33 VOLPI RD,Residential,"262,500","500,000"
126,2021,1/3/2022,Bristol,33 MUIR AVE,Residential,"99,750","200,000"
127,2021,1/3/2022,Bloomfield,17 STRATFORD PARK,Residential,"105,490","190,000"
128,2021,1/3/2022,Middletown,41 BROOKVIEW LA,Residential,"191,900","425,000"
129,2021,1/3/2022,Torrington,40 ELMWOOD TER,Residential,"62,320","145,000"
130,2021,1/3/2022,Stamford,0 BLACHLEY ROAD,Apartments,"10,696,070","26,138,298"
131,2021,1/3/2022,Southington,248 MERIDEN AV,Residential,"187,610","325,000"
132,2021,1/3/2022,Waterbury,522 BUNKER HILL AVE,Residential,"88,500","210,000"
133,2021,1/3/2022,Oxford,15 NORTH MARK DRIVE,Residential,"248,600","355,000"
134,2021,1/3/2022,Stonington,8 STONINGTON COMMONS #25,Residential,"499,000","1,425,000"
135,2021,1/3/2022,Portland,5 MAPLE AVE,Residential,"141,120","269,900"
136,2021,1/3/2022,North Haven,580 SKIFF ST,Residential,"144,210","325,000"
137,2021,1/3/2022,Newtown,6 BOULDER CREEK ROAD,Residential,"540,260","972,500"
138,2021,1/3/2022,Plainfield,80 LAKE ST,Residential,"118,130","265,000"
139,2021,1/3/2022,Seymour,65 & 67 MOSS AVE,Vacant Land,"116,130","500,000"
140,2021,1/3/2022,Stamford,30 NURNEY STREET,Commercial,"414,200","695,000"
141,2021,1/3/2022,Southington,23 NORTH RD (TP),Residential,"47,110","60,000"
142,2021,1/3/2022,Southington,159 90 APPLE GATE,Residential,"17,140","445,236"
143,2021,1/3/2022,Southbury,21 BUCKS HILL RD,Residential,"281,510","499,900"
144,2021,1/3/2022,Thompson,366 THOMPSON RD,Residential,"344,500","200,500"
145,2021,1/3/2022,Plainfield,86 WHIP-POOR-WILL,Residential,"199,100","390,000"
146,2021,1/3/2022,Newington,101 ROCKWELL RD,Industrial,"893,000","1,300,000"
147,2021,1/3/2022,Norwich,204 LAURA BLVD,Residential,"82,500","161,600"
148,2021,1/3/2022,Simsbury,106 CAMBRIDGE COURT,Residential,"276,550","532,155"
149,2021,1/3/2022,Stamford,26 COURT STREET,Residential,"348,840","640,000"
150,2021,1/3/2022,Ridgefield,36 MALLORY HILL RD,Residential,"168,490","415,000"
151,2021,1/3/2022,Norwalk,30 CHATHAM DR,Residential,"250,630","325,508"
152,2021,1/3/2022,Wallingford,47 SPRING ST,Residential,"170,400","223,000"
153,2021,1/3/2022,New Milford,9 GREEN VIEW RD,Residential,"175,010","300,000"
154,2021,1/3/2022,Stamford,20 WEED HILL AVENUE #L,Residential,"177,300","380,000"
155,2021,1/3/2022,Plainfield,14 WINSOR AVE,Commercial,"1,170,410","1,317,705"
156,2021,1/3/2022,Stamford,77 HAVEMEYER LANE #79,Residential,"768,230","1,250,000"
157,2021,1/3/2022,Stratford,34C ALGONQUIN LANE,Residential,"105,560","240,000"
158,2021,1/3/2022,Norwalk,3 PARK ST,Commercial,"564,090","1,110,000"
159,2021,1/3/2022,Wallingford,18 HALLMARK HILL,Residential,"130,800","250,000"
160,2021,1/3/2022,Oxford,33 WEDGE HILL DRIVE,Residential,"193,100","315,000"
161,2021,1/3/2022,Plainville,17 ATWOOD ST,Residential,"126,630","220,000"
162,2021,1/3/2022,Waterbury,33 WILSON ST,Residential,"62,400","100,537"
163,2021,1/3/2022,Seymour,12 CHARLES RD,Residential,"132,160","220,000"
164,2021,1/3/2022,New London,1092 OCEAN AVE,Residential,"179,690","325,000"
165,2021,1/3/2022,Stamford,25 SECOND STREET #A3,Residential,"225,530","370,000"
166,2021,1/3/2022,Torrington,149 ASCOT LN,Residential,"129,130","219,000"
167,2021,1/3/2022,Waterbury,484 CHIPMAN ST,Residential,"86,710","141,093"
168,2021,1/3/2022,Torrington,23 WILLIAMS AVE,Residential,"80,510","140,000"
169,2021,1/3/2022,Stratford,135 OTIS STREET,Residential,"167,580","420,000"
170,2021,1/3/2022,Southington,125 DEER RUN,Vacant Land,320,"324,000"
171,2021,1/3/2022,North Haven,216 QUINNIPIAC AVE UNIT-216,Residential,"45,760","75,900"
172,2021,1/3/2022,Norwalk,7 PARK ST,Commercial,"838,980","980,000"
173,2021,1/3/2022,Stamford,333 HAMILTON AVENUE,Apartments,"7,959,030","19,361,702"
174,2021,1/3/2022,Pomfret,236 DEERFIELD RD,Residential,"346,070","548,000"
175,2021,1/3/2022,Norwich,75 BALTIC ST,Residential,"96,700","172,000"
176,2021,1/3/2022,Southbury,185 BAGLEY RD,Residential,"215,160","391,000"
177,2021,1/3/2022,Thompson,366 THOMPSON RD,Residential,"344,500","200,500"
178,2021,1/3/2022,Norwich,12 CASE ST #C14,Commercial,"63,800","62,000"
179,2021,1/3/2022,Old Saybrook,1 GLEN DR,Residential,"191,500","420,000"
180,2021,1/3/2022,Plainfield,47 ERIN DR,Residential,"62,260","130,000"
181,2021,1/3/2022,Plainville,405 NEW BRITAIN AVE,Commercial,"4,092,270","8,988,750"
182,2021,1/3/2022,New Milford,7 HEARTHSTONE TERR,Residential,"206,360","427,500"
183,2021,1/3/2022,Waterbury,708 WOLCOTT ST,Commercial,"1,600,130","1,700,000"
184,2021,1/3/2022,Seymour,172 MAPLE ST,Residential,"214,830","500,000"
185,2021,1/3/2022,Putnam,81 BATTEY ST,Residential,"98,000","130,000"
186,2021,1/3/2022,Stamford,LOT 3 JUNE ROAD,Vacant Land,"565,930","550,000"
187,2021,1/3/2022,Norwalk,10 ANN ST UNIT 101,Residential,"196,630","297,500"
188,2021,1/3/2022,Stamford,127 GREYROCK PLACE #1405,Residential,"176,880","280,000"
189,2021,1/3/2022,Tolland,630 MERROW RD,Residential,"184,700","292,000"
190,2021,1/3/2022,Sharon,235 CALKINSTOWN RD,Residential,"420,700","600,000"
191,2021,1/3/2022,Newington,162 NICHOLSON ST,Residential,"146,880","292,500"
192,2021,1/3/2022,Stratford,310 NUTMEG LANE,Residential,"356,230","610,000"
193,2021,1/3/2022,Plainville,4 LENA AVE,Residential,"218,680","290,000"
194,2021,1/3/2022,Stonington,4 SCHOOL PL,Residential,"159,200","566,670"
195,2021,1/3/2022,Wallingford,57 EVERGREEN,Residential,"52,600","105,000"
196,2021,1/3/2022,Plainville,26 LEDGE RD,Residential,"101,570","133,913"
197,2021,1/3/2022,Seymour,13B LILAC DR,Residential,"110,880","224,000"
198,2021,1/3/2022,North Branford,70 PARSONAGE HILL RD,Residential,"865,700","2,250,000"
199,2021,1/3/2022,Prospect,12 TAMARACK CT,Residential,"8,750","191,125"
200,2021,1/3/2022,Norwich,27 MERCHANTS AVE,Commercial,"138,600","200,000"
201,2021,1/3/2022,Torrington,434 TRAILSEND DR,Residential,"61,280","66,963"
202,2021,1/3/2022,North Stonington,147 SWANTOWN HILL,Residential,"149,380","290,000"
203,2021,1/3/2022,Wallingford,11 SHELBY DR,Residential,"242,300","400,000"
204,2021,1/3/2022,Stamford,36 DEPINEDO AVENUE #2,Residential,"169,070","330,000"
205,2021,1/3/2022,Waterbury,57 BENNETT AVE,Residential,"97,010","185,000"
206,2021,1/3/2022,Newtown,63 TAUNTON LAKE ROAD,Residential,"659,400","2,075,000"
207,2021,1/3/2022,Putnam,70 SMITH ST,Residential,"89,200","130,000"
208,2021,1/3/2022,Waterbury,196 HIGHLAND AVE,Residential,"96,490","340,000"
209,2021,1/3/2022,North Haven,3 CEDAR AVE,Residential,"89,490","92,000"
210,2021,1/3/2022,South Windsor,4 MALLARD PL,Residential,"126,100","250,000"
211,2021,1/3/2022,Norwich,29 PARKWOOD DR,Residential,"98,100","191,000"
212,2021,1/3/2022,Norwalk,95 SOUNDVIEW AVE,Residential,"284,700","480,000"
213,2021,1/3/2022,Pomfret,34 WETHERBEE RD & 168 FAY RD,Residential,"274,670","700,000"
214,2021,1/3/2022,New Haven,51 LEY ST,Residential,"136,955","254,000"
215,2021,1/3/2022,Norwalk,8 LEWIS ST,Apartments,"870,830","1,737,500"
216,2021,1/3/2022,North Haven,573 SKIFF ST,Residential,"204,650","476,500"
217,2021,1/3/2022,Norwich,64 BOSWELL AVE,Apartments,"176,700","245,000"
218,2021,1/3/2022,Plainfield,187-189 PROSPECT ST,Residential,"92,690","130,000"
219,2021,1/3/2022,New Milford,40 WILLOW SPRINGS,Residential,"136,500","246,500"
220,2021,1/3/2022,Stratford,63 TEMPLE STREET,Residential,"181,440","434,000"
221,2021,1/3/2022,Southington,369 HITCHCOCK RD,Residential,"174,440","277,000"
222,2021,1/3/2022,Plainville,25 S WASHINGTON ST,Residential,"123,830","231,000"
223,2021,1/3/2022,North Canaan,48 BARLOW ST,Residential,"95,280","220,000"
224,2021,1/3/2022,Norwalk,11 HAWKINGS AVE UNIT 4E,Residential,"268,160","390,000"
225,2021,1/3/2022,Wallingford,56 PIERSON DR,Residential,"229,300","338,100"
226,2021,1/3/2022,Sharon,BIRCH LANE,Vacant Land,"66,400","65,300"
227,2021,1/3/2022,Torrington,72 TIOGA ST,Residential,"99,500","265,000"
228,2021,1/3/2022,North Haven,16 BENEDICT DR,Residential,"309,360","460,000"
229,2021,1/3/2022,Stamford,9 WEST BROAD STREET,Commercial,"22,441,730","26,782,504"
230,2021,1/3/2022,New Milford,22 BAYBERRY LN,Residential,"311,140","590,000"
231,2021,1/3/2022,South Windsor,58 PLEASANT VLY RD,Residential,"143,500","126,667"
232,2021,1/3/2022,Southington,129 DEER RUN,Residential,"182,530","324,000"
233,2021,1/3/2022,Waterbury,173 TRAVERSE ST,Residential,"59,200","185,000"
234,2021,1/3/2022,Norwalk,88 MAGNOLIA AVE,Residential,"216,900","360,000"
235,2021,1/3/2022,Stonington,286 N MAIN ST,Residential,"822,200","1,850,000"
236,2021,1/3/2022,Stonington,9 SCHOOL PL,Residential,"157,600","566,670"
237,2021,1/3/2022,Plainfield,45 MAIN ST UNIT 308,Residential,"37,270","139,900"
238,2021,1/3/2022,Newtown,96 FOREST DRIVE,Residential,"103,060","345,000"
239,2021,1/3/2022,New Haven,853 TOWNSEND AV,Residential,"204,750","425,000"
240,2021,1/3/2022,Norwalk,35 WOODWARD AVE,Residential,"226,990","405,000"
241,2021,1/3/2022,North Stonington,31 YAWBUX VALLEY,Residential,"119,630","144,300"
242,2021,1/3/2022,Stamford,19 PINEWOOD ROAD,Residential,"367,070","650,000"
243,2021,1/3/2022,Putnam,259 CHURCH ST,Residential,"97,600","130,000"
244,2021,1/3/2022,Plainfield,512 NORWICH RD,Commercial,"190,100","275,000"
245,2021,1/3/2022,Norwich,86 MERCHANTS AVE,Residential,"142,000","273,000"
246,2021,1/3/2022,Southington,24 PRELI CT,Residential,"223,840","328,500"
247,2021,1/3/2022,Suffield,1477 RIVER BLVD EXT,Residential,"174,580","260,000"
248,2021,1/3/2022,Stonington,6 SCHOOL PL,Residential,"154,400","566,670"
249,2021,1/3/2022,Norwich,527 WEST THAMES ST #34,Residential,"73,400","155,000"
250,2021,1/3/2022,South Windsor,80 ROBERT DR,Residential,"126,500","310,000"
251,2021,1/3/2022,Waterbury,147 NORTON ST,Residential,"109,630","335,000"
252,2021,1/3/2022,Torrington,1229 WINSTED RD UNIT 112,Residential,"72,410","135,000"
253,2021,1/3/2022,Southington,41 HILLCREST DR,Residential,"210,100","436,473"
254,2021,1/3/2022,North Haven,550 JUNIPER DR,Residential,"210,940","375,000"
255,2021,1/3/2022,Norwich,60 BOSWELL AVE,Apartments,"162,400","245,000"
256,2021,1/3/2022,New London,65 RIDGEVIEW CIR,Residential,"98,560","194,900"
257,2021,1/3/2022,Plainville,270 EAST ST,Residential,"151,060","170,000"
258,2021,1/3/2022,Simsbury,2 SOUTHBRIDGE COURT,Residential,"133,430","290,000"
259,2021,1/3/2022,Stamford,30 GLENBROOK ROAD #4B,Residential,"126,340","200,000"
260,2021,1/3/2022,Plainfield,238-240 MAIN ST,Residential,"83,890","175,000"
261,2021,1/3/2022,Salisbury,52 WEATOGUE ROAD,Residential,"158,800","405,000"
262,2021,1/3/2022,Stratford,575 SEDGEWICK AVENUE,Residential,"132,650","365,000"
263,2021,1/3/2022,Norwalk,67 LOCKWOOD LN,Residential,"296,720","525,000"
264,2021,1/3/2022,Thompson,687 RIVERSIDE DR,Residential,"93,500","131,000"
265,2021,1/3/2022,Plainfield,1 SMITH RD,Residential,"105,580","238,000"
266,2021,1/3/2022,Seymour,23A NORTH ST,Residential,"153,160","350,000"
267,2021,1/3/2022,Stamford,59 ELIZABETH AVENUE,Residential,"404,770","659,500"
268,2021,1/3/2022,Stamford,284 GLENBROOK ROAD,Residential,"314,990","530,000"
269,2021,1/3/2022,New Milford,92 CANDLEWOOD LK N,Residential,"173,420","220,500"
270,2021,1/3/2022,Wallingford,27 GRIEB TRL,Residential,"189,900","263,100"
271,2021,1/3/2022,Waterbury,320 HOMESTEAD AVE,Residential,"65,860","130,000"
272,2021,1/3/2022,West Hartford,1175 FARMINGTON AVENUE,Residential,"223,795","243,000"
273,2021,1/3/2022,Woodbury,25 GATE POST LANE,Residential,"423,510","765,000"
274,2021,1/3/2022,Windsor,29 MAUDE CIR,Residential,"119,140","235,000"
275,2021,1/3/2022,Windham,57 CHAPMAN ST,Residential,"78,740","130,000"
276,2021,1/3/2022,Winchester,39 ORCHARD STREET,Residential,"84,420","128,000"
277,2021,1/3/2022,Waterford,15 STROSBERG ROAD,Residential,"119,210","150,000"
278,2021,1/3/2022,Windham,48 BOSTON POST RD,Commercial,"289,670","700,000"
279,2021,1/3/2022,West Haven,202 JONES HILL RD,Residential,"196,350","310,000"
280,2021,1/3/2022,West Haven,171 TERRACE AVE,Residential,"133,350","265,000"
281,2021,1/3/2022,Windsor,2133 POQUONOCK AVE,Commercial,"617,820","325,000"
282,2021,1/3/2022,Winchester,36 RIVEREDGE DR UNIT 36,Residential,"50,540","127,000"
283,2021,1/3/2022,Windsor,132 WINTERWOOD,Residential,"168,980","330,333"
284,2021,1/3/2022,Weston,OLD FIELD ROAD LOTS 13-16,Vacant Land,"198,520","680,000"
285,2021,1/3/2022,West Hartford,970 NEW BRITAIN AVENUE,Commercial,"443,730","750,000"
286,2021,1/3/2022,West Haven,30 DAVID ST,Residential,"138,880","250,000"
287,2021,1/3/2022,Waterford,6 RIDGEWOOD AVE,Residential,"275,080","860,000"
288,2021,1/3/2022,West Haven,44 MAPLE ST,Residential,"185,080","419,000"
289,2021,1/3/2022,Woodbridge,780-804 FOUNTAIN ST,Vacant Land,"76,160","750,000"
290,2021,1/3/2022,Wolcott,22 RIDGECREST DR,Residential,"325,930","526,500"
291,2021,1/3/2022,Winchester,145 COLONY DRIVE,Residential,"102,690","209,900"
292,2021,1/3/2022,West Hartford,19 LEXINGTON ROAD,Residential,"204,260","299,900"
293,2021,1/3/2022,West Haven,256 HOMESIDE AVE,Vacant Land,"41,790","52,000"
294,2021,1/3/2022,Waterford,51 WINDWARD WAY,Residential,"193,350","604,000"
295,2021,1/3/2022,Windsor,114 WINTHROP RD,Residential,"175,140","345,000"
296,2021,1/3/2022,Wolcott,26 ROSEMARY LN,Residential,"142,890","215,000"
297,2021,1/3/2022,Woodbridge,19 BEECHER RD,Residential,"218,680","375,000"
298,2021,1/3/2022,Westport,12 WEATHERVANE HILL,Residential,"1,622,230","1,650,000"
299,2021,1/3/2022,West Hartford,40 LINBROOK ROAD,Residential,"288,435","600,000"
300,2021,1/3/2022,Westport,9 PARSELL LANE,Residential,"461,800","705,000"
301,2021,1/4/2022,Danbury,37 AUNT HACK,Residential,"372,200","695,000"
302,2021,1/4/2022,Killingly,32 ATHOL ST,Residential,"57,190","150,000"
303,2021,1/4/2022,Glastonbury,40 CURTIS RD,Residential,"142,700","262,500"
304,2021,1/4/2022,Brooklyn,77 DAY ST,Residential,"188,300","414,500"
305,2021,1/4/2022,Bridgeport,850 MADISON AVE,Commercial,"255,630","600,000"
306,2021,1/4/2022,Branford,4 THREE ELM RD,Apartments,"376,200","1,200,000"
307,2021,1/4/2022,Coventry,1908 SOUTH ST,Residential,"97,900","60,000"
308,2021,1/4/2022,New Britain,93B-23 CLINIC DR,Residential,"41,440","29,600"
309,2021,1/4/2022,Danbury,43 WOODSIDE AV,Residential,"145,400","349,000"
310,2021,1/4/2022,Cromwell,22 FRANKLIN ROAD,Residential,"133,420","247,400"
311,2021,1/4/2022,Lyme,116-7 BLOOD STREET,Residential,"128,100","90,322"
312,2021,1/4/2022,Hampton,102 BENNETT DR,Residential,"214,890","340,000"
313,2021,1/4/2022,Fairfield,2145 BURR STREET,Residential,"732,480","1,798,000"
314,2021,1/4/2022,Bloomfield,1 TERRY PLAINS ROAD,Residential,"134,900","269,900"
315,2021,1/4/2022,Naugatuck,75 KOSKO LN,Residential,"164,170","300,000"
316,2021,1/4/2022,Bozrah,20 SCHWARTZ RD,Residential,"91,220","205,000"
